type,title,rating,duration,listed_in,IMDb,c0,c1,c2,c3,c4,c5,c6
Movie,halloweentown,TV_PG,84 min,"Action, Adventure, Comedy, ComingOfAge",6.6,debbie reynolds,judith hoag,kimberly brown,joey zimmerman,phillip van dyke,emily roeske,
Movie,heavyweights,PG,98 min,"Comedy, Family",6.6,tom mcgowan,aaron schwartz,shaun weiss,tom hodges,leah lail,paul feig,
Movie,iron will,PG,109 min,"Action, Adventure, ComingOfAge, Family",6.6,mackenzie astin,kevin spacey,david ogden stiers,august schellenberg,brian cox,george gerdes,
TV Show,lizzie mcguire,TV_G,2 Seasons,"Comedy, ComingOfAge, Kids",6.6,hilary duff,lalaine ,adam lamberg,jake thomas,hallie todd,robert carradine,
TV Show,marvel's ultimate comics,TV_Y7,1 Season,"Action, Adventure, Animation, Comedy",6.6,cole howard,brian drummond,,,,,
Movie,mission to the sun,TV_PG,44 min,Documentary,6.6,henry goodman,jack baker,,,,,
Movie,oliver & company,G,76 min,"Action, Adventure, Animation, Musical",6.6,joey lawrence,billy joel,cheech marin,richard mulligan,roscoe browne,sheryl ralph,
Movie,shipwrecked,PG,93 min,"Action, Adventure, ComingOfAge, Family",6.6,stian smestad,trond peter munch,louisa haigh,gabriel byrne,bjã¸rn sundquist,eva von hanno,
Movie,star wars: attack of the clones (episode ii),PG,143 min,"Action, Adventure, Sci_Fi",6.6,ewan mcgregor,natalie portman,hayden christensen,frank oz,ian mcdiarmid,pernilla august,
Movie,the parent trap,PG,129 min,"Comedy, Family, Romance",6.6,dennis quaid,natasha richardson,lisa walter,elaine hendrix,simon kunz,ronnie stevens,
TV Show,the replacements,TV_G,1 Season,"Animation, Comedy, Family",6.6,nancy cartwright,grey delisle,kath soucie,daran norris,david mccallum,jeff bennett,
Movie,the story of robin hood and his merrie men,PG,84 min,"Action, Adventure, Family",6.6,richard todd,joan rice,peter finch,james hayter,martita hunt,james justice,
Movie,tuck everlasting,PG,91 min,"ComingOfAge, Drama, Fantasy",6.6,alexis bledel,ben kingsley,sissy spacek,amy irving,victor garber,jonathan jackson,
Movie,winnie the pooh: a very merry pooh year,G,67 min,"Animation, Kids",6.6,jim cummings,peter cullen,john fiedler,michael gough,william green,nikita hopkins,
Movie,those calloways,PG,132 min,"Animals_Nature, Drama, Family",6.6,brian keith,vera miles,brandon de wilde,walter brennan,ed wynn,linda evans,
Movie,x_men origins: wolverine,PG_13,108 min,"Action, Adventure, Family, Sci_Fi",6.6,hugh jackman,liev schreiber,danny huston,will.i.am ,lynn collins,kevin durand,
